name,address,rating,review_count
Au Grain de Sel,"Rue de la Borde 23, 1018 Lausanne",,0
Best Western Plus Hôtel Mirabeau,"Avenue de la Gare 31, 1003 Lausanne",4.5,10
Hong Yan Restaurant Chinois à Lausanne,"Avenue du Mont-Blanc 1, 1018 Lausanne",5.0,1
Hôtel-Restaurant de l'Ours,"Rue du Bugnon 2, 1005 Lausanne",4.3,10
Keyann Bistro Libanais,"Avenue Frédéric-César-de-la-Harpe 43B, 1007 Lausanne",4.5,4
Keyann Café Libanais,"Avenue du Léman 79, 1005 Lausanne",5.0,3
la Nonna,"Rue du Maupas 17, 1004 Lausanne",4.4,13
La Torre,"Rue de l'Ale 44, 1003 Lausanne",4.5,10
le Milan,"Boulevard de Grancy 54, 1006 Lausanne",4.5,26
Le Petit Ajaccio Sàrl,"Avenue d'Echallens 82, 1004 Lausanne",,0
le Petit Coin Gourmand,"Avenue de Cour 6A, 1007 Lausanne",4.1,7
Le Théâtre Restaurant,"Avenue du Théâtre 12, 1005 Lausanne",4.4,27
Les Berges de Vidy,"Chemin du Camping 3, 1007 Lausanne",4.3,13
Luigia - Restaurant Pizzeria Lausanne,"Rue Saint-Pierre 3, 1003 Lausanne",5.0,5
Mami Pizza,"Avenue de Sévelin 13F, 1004 Lausanne",5.0,6
Restaurant Churrasco,"Rue de Bourg 51, 1003 Lausanne",4.0,9
Restaurant Dalat,"Place du Vallon 5, 1005 Lausanne",4.4,16
Restaurant HOIAN BBQ,"Chemin des Pêcheurs 7, 1007 Lausanne",4.3,73
Ristorante St Paul,"Avenue d'Echallens 72, 1004 Lausanne",4.5,14
Saveurs de Beyrouth,"Place Chauderon 38, 1003 Lausanne",,0
Ugarit,"Avenue de Morges 46, 1004 Lausanne",4.0,1
Au Couscous,"Rue Enning 2, 1003 Lausanne",5.0,3
Brasserie de Montelly,"Chemin de Montelly 1, 1007 Lausanne",5.0,3
Chez Xu 1,"Rue du Tunnel 10, 1005 Lausanne",4.5,13
Chinatown,"Rue Grand-St-Jean 1, 1003 Lausanne",4.3,12
Dun-Huang,"Chemin de Pierrefleur 40, 1004 Lausanne",4.9,8
L'étoile blanche,"Avenue du Tribunal-Fédéral 1, 1005 Lausanne",3.8,8
le Cazard,"Rue Pré-du-Marché 15, 1004 Lausanne",4.8,4
Le P'tit Central,"Rue Centrale 9, 1003 Lausanne",,0
